Restaurante,Comuna,Query Google sugerida,URL busqueda Google,Query Rappi sugerida,Estado revision Rappi,URL Rappi encontrada,Observacion,Revisado manualmente
ZÍA Bistró & Café,Lo Barnechea,ZÍA Bistró & Café Lo Barnechea Rappi,https://www.google.com/search?q=Z%C3%8DA+Bistr%C3%B3+%26+Caf%C3%A9+Lo+Barnechea+Rappi,ZÍA Bistró & Café,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
Sabrosura,La Florida,Sabrosura La Florida Rappi,https://www.google.com/search?q=Sabrosura+La+Florida+Rappi,Sabrosura,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
Volcano Restaurant,Chillán,Volcano Restaurant Chillán Rappi,https://www.google.com/search?q=Volcano+Restaurant+Chill%C3%A1n+Rappi,Volcano Restaurant,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
Vecchia Casa restobar,La Reina,Vecchia Casa restobar La Reina Rappi,https://www.google.com/search?q=Vecchia+Casa+restobar+La+Reina+Rappi,Vecchia Casa restobar,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
Bar Porfirio,Providencia,Bar Porfirio Providencia Rappi,https://www.google.com/search?q=Bar+Porfirio+Providencia+Rappi,Bar Porfirio,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
Beasty Butchers,Vitacura,Beasty Butchers Vitacura Rappi,https://www.google.com/search?q=Beasty+Butchers+Vitacura+Rappi,Beasty Butchers,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
Vicenzo Cucina,Las Condes,Vicenzo Cucina Las Condes Rappi,https://www.google.com/search?q=Vicenzo+Cucina+Las+Condes+Rappi,Vicenzo Cucina,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
Lungo Restaurante y Cafetería,Curicó,Lungo Restaurante y Cafetería Curicó Rappi,https://www.google.com/search?q=Lungo+Restaurante+y+Cafeter%C3%ADa+Curic%C3%B3+Rappi,Lungo Restaurante y Cafetería,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
Ostras Chiloé - Los Trapenses,Lo Barnechea,Ostras Chiloé - Los Trapenses Lo Barnechea Rappi,https://www.google.com/search?q=Ostras+Chilo%C3%A9+-+Los+Trapenses+Lo+Barnechea+Rappi,Ostras Chiloé - Los Trapenses,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
"Vita Wines House, Casa de vinos",Chillán,"Vita Wines House, Casa de vinos Chillán Rappi",https://www.google.com/search?q=Vita+Wines+House%2C+Casa+de+vinos+Chill%C3%A1n+Rappi,"Vita Wines House, Casa de vinos",Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
¡Ay Mi Madre! Restobar Ñuñoa,Ñuñoa,¡Ay Mi Madre! Restobar Ñuñoa Ñuñoa Rappi,https://www.google.com/search?q=%C2%A1Ay+Mi+Madre%21+Restobar+%C3%91u%C3%B1oa+%C3%91u%C3%B1oa+Rappi,¡Ay Mi Madre! Restobar Ñuñoa,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
La Leña,La Florida,La Leña La Florida Rappi,https://www.google.com/search?q=La+Le%C3%B1a+La+Florida+Rappi,La Leña,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
El DUO,La Reina,El DUO La Reina Rappi,https://www.google.com/search?q=El+DUO+La+Reina+Rappi,El DUO,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
TPM BAR Barrio Italia,Providencia,TPM BAR Barrio Italia Providencia Rappi,https://www.google.com/search?q=TPM+BAR+Barrio+Italia+Providencia+Rappi,TPM BAR Barrio Italia,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
La Cocina de Javier - Restaurant,Vitacura,La Cocina de Javier - Restaurant Vitacura Rappi,https://www.google.com/search?q=La+Cocina+de+Javier+-+Restaurant+Vitacura+Rappi,La Cocina de Javier - Restaurant,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
Nolita Isidora Goyenechea,Las Condes,Nolita Isidora Goyenechea Las Condes Rappi,https://www.google.com/search?q=Nolita+Isidora+Goyenechea+Las+Condes+Rappi,Nolita Isidora Goyenechea,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
Aay Chabela Restaurant,Chillán,Aay Chabela Restaurant Chillán Rappi,https://www.google.com/search?q=Aay+Chabela+Restaurant+Chill%C3%A1n+Rappi,Aay Chabela Restaurant,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
Restaurant Fuego Bendito,Curicó,Restaurant Fuego Bendito Curicó Rappi,https://www.google.com/search?q=Restaurant+Fuego+Bendito+Curic%C3%B3+Rappi,Restaurant Fuego Bendito,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
El Hoyo,La Florida,El Hoyo La Florida Rappi,https://www.google.com/search?q=El+Hoyo+La+Florida+Rappi,El Hoyo,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
